No,Day,Month,Year,Qobs_0000000001,Qsim_0000000001,Qobs_0000000002,Qsim_0000000002,Qobs_0000000003,Qsim_0000000003,Qobs_0000000004,Qsim_0000000004
171,19,6,2016,1.634,1.6823708,1.903,1.4699397,0.641,0.5436263,12.651,12.0928769
172,20,6,2016,1.301,1.3555398,1.474,1.2138067,0.465,0.3884829,10.039,8.8480431
173,21,6,2016,1.153,1.115135,1.24,1.0034404,0.384,0.3078795,8.705,7.0644341
174,22,6,2016,1.03,0.9380105,1.092,0.8444209,0.303,0.2551145,7.803,5.9105877
175,23,6,2016,0.926,0.8025732,0.944,0.717919,0.245,0.2147833,6.81,4.9765414
176,24,6,2016,0.848,0.6982086,0.834,0.6204878,0.202,0.2007674,6.075,4.3990752
177,25,6,2016,1.011,0.7743898,1.054,0.6501425,0.481,0.3211358,7.908,5.366939
178,26,6,2016,0.796,0.7948565,0.826,0.6350505,0.262,0.3467438,6.676,6.1085811
179,27,6,2016,0.734,0.6665987,0.745,0.5490085,0.194,0.2701081,5.612,4.7034557
180,28,6,2016,0.702,0.5862537,0.695,0.4857771,0.169,0.2224993,5.088,3.9510959
181,29,6,2016,0.671,0.5280197,0.635,0.4357099,0.153,0.1954952,4.703,3.5163805
182,30,6,2016,,0.9594211,1.042,0.5748402,0.162,0.1760491,5.037,3.368135
183,1,7,2016,0.648,0.8717071,0.656,0.5080472,0.134,0.1581918,4.291,3.0758558
184,2,7,2016,1.685,1.6922957,2.1,1.11728,0.761,0.5134899,11.89,7.4404634
185,3,7,2016,0.791,1.5248773,1.064,0.9980173,0.425,0.6511903,9.706,10.2301054
186,4,7,2016,0.666,1.1004516,0.796,0.7968518,0.251,0.4372972,6.209,6.8713747
187,5,7,2016,0.63,0.897944,0.691,0.6745879,0.193,0.3226853,5.156,5.3043635
188,6,7,2016,0.598,0.7606277,0.611,0.5836708,0.161,0.2545745,4.481,4.3817073
189,7,7,2016,0.574,0.6604834,0.565,0.5135149,0.143,0.2111447,4.064,3.7737913
190,8,7,2016,0.557,0.5845771,0.532,0.4582786,0.131,0.1819298,3.772,3.3496723
191,9,7,2016,0.526,0.525638,0.491,0.4142152,0.119,0.1613705,3.477,3.0394033
192,10,7,2016,0.532,0.479101,0.453,0.3787244,0.108,0.1463306,3.303,2.8039138
193,11,7,2016,0.659,0.8373128,0.479,0.4067622,0.096,0.1376723,3.305,3.035159
194,12,7,2016,1.837,2.0094445,2.466,1.43395,1.458,1.0030622,31.426,18.160485
195,13,7,2016,1.665,1.5101361,2.0,1.1105224,1.259,1.5857035,29.114,28.9036843
196,14,7,2016,0.79,1.1770613,1.283,1.1544983,1.385,1.2424211,14.332,16.9541998
197,15,7,2016,0.675,0.9899361,1.325,0.9747834,1.029,0.8949264,12.548,12.145151
198,16,7,2016,0.61,0.8073431,0.912,0.8048007,0.624,0.5589974,8.205,7.9620836
199,17,7,2016,0.575,0.6904333,0.764,0.6866736,0.406,0.3932524,6.419,5.9712802
200,18,7,2016,0.548,0.6054396,0.678,0.5963734,0.294,0.2991056,5.365,4.8198314
201,19,7,2016,0.516,0.5411394,0.603,0.5257993,0.227,0.2412352,4.625,4.0827858
202,20,7,2016,0.51,0.4912687,0.557,0.4698617,0.188,0.2034397,4.145,3.577935
203,21,7,2016,0.503,0.4519713,0.519,0.4250705,0.164,0.1775086,3.799,3.2430164
204,22,7,2016,0.73,0.7153652,0.666,0.4823912,0.175,0.2421309,4.918,4.0530208
205,23,7,2016,1.147,0.683639,0.826,0.528817,0.164,0.3621877,4.523,5.8134472
206,24,7,2016,0.558,0.5401994,0.58,0.423678,0.186,0.3350986,5.284,5.4378425
207,25,7,2016,0.499,0.4803403,0.515,0.4033631,,0.2586718,4.125,4.3791036
208,26,7,2016,0.481,0.4410865,0.541,0.3738072,,0.2119455,3.442,3.5945322
209,27,7,2016,0.467,0.4100207,0.451,0.3434452,,0.1820001,3.212,3.1422181
210,28,7,2016,0.431,0.3855608,0.425,0.3206691,,0.1609631,3.099,2.8334101
211,29,7,2016,0.435,0.36594,0.393,0.30259,,0.145553,2.956,2.6077009
212,30,7,2016,0.442,0.3500278,0.387,0.287984,,0.134009,2.852,2.4420684
213,31,7,2016,1.299,0.8198072,1.034,0.570324,,0.2961019,6.005,4.7166641
214,1,8,2016,0.991,0.5241756,0.698,0.3902518,,0.3279714,5.592,5.5423047
215,2,8,2016,0.514,0.4191774,0.486,0.3417956,,0.2513484,3.773,4.0549618
216,3,8,2016,0.464,0.3892571,0.444,0.3184388,0.075,0.2049963,3.32,3.3580878
217,4,8,2016,0.641,1.0338157,0.64,0.6930622,0.189,0.4574925,4.106,6.9526327
218,5,8,2016,1.724,0.7331337,1.59,0.5550171,0.477,0.5877295,12.183,9.8889464
219,6,8,2016,0.678,0.5452055,0.73,0.4480741,0.178,0.4331299,6.045,7.336487
220,7,8,2016,0.559,0.4807897,0.564,0.3994139,0.134,0.3166461,4.337,5.131902
221,8,8,2016,0.52,0.4382966,0.509,0.3658377,0.112,0.2478974,3.626,4.0598541
222,9,8,2016,0.507,0.4095838,0.476,0.3456213,0.102,0.2261922,3.267,3.7527796
223,10,8,2016,0.515,0.3878128,0.498,0.3303534,0.113,0.209534,3.623,3.6992616
224,11,8,2016,0.457,0.366947,0.452,0.3109878,0.084,0.1784505,2.946,3.1703183
225,12,8,2016,0.423,0.350193,0.425,0.2951828,0.072,0.1568251,2.714,2.8235942
226,13,8,2016,0.413,0.3366028,0.377,0.2821986,0.067,0.1411779,2.565,2.5805346
227,14,8,2016,0.401,0.3254592,0.36,0.2714568,0.062,0.1294596,2.441,2.4008394
228,15,8,2016,0.382,0.3162377,0.348,0.2625247,0.058,0.1254658,2.398,2.2804312
229,16,8,2016,0.364,0.3085514,0.334,0.2550461,0.085,0.1336478,2.515,2.2345607
230,17,8,2016,0.438,0.3096526,0.4,0.2493222,0.071,0.1288097,2.722,2.1675864
231,18,8,2016,0.405,0.4222326,0.394,0.3504131,0.068,0.1301315,2.645,2.2450527
232,19,8,2016,0.609,0.3343504,0.545,0.2667429,0.074,0.1274059,2.918,2.3723246
233,20,8,2016,0.472,0.4569051,0.463,0.3903372,0.1,0.1734056,2.921,3.1777416
234,21,8,2016,0.471,0.3455753,0.437,0.2832545,0.086,0.1668184,3.71,3.02562
235,22,8,2016,0.387,0.3108622,0.374,0.2639964,0.06,0.1448329,2.644,2.5630245
236,23,8,2016,0.372,0.3029222,0.355,0.255833,0.055,0.1294646,2.312,2.325666
237,24,8,2016,0.368,0.2964881,0.344,0.2490445,0.052,0.1181253,2.153,2.1592917
238,25,8,2016,0.36,0.2911817,0.321,0.2433577,0.049,0.1094764,2.04,2.0356037
239,26,8,2016,0.349,0.2867467,0.299,0.2385624,0.044,0.1026811,1.945,1.9395578
240,27,8,2016,0.341,0.2830178,0.282,0.2513765,0.044,0.1349662,1.811,2.0139681
241,28,8,2016,0.344,0.2798446,0.358,0.2439726,0.083,0.1278608,1.89,2.0471789
242,29,8,2016,0.339,0.2770923,0.302,0.2348507,0.044,0.1151558,1.974,1.909684
243,30,8,2016,0.338,0.2746927,0.315,0.2311872,0.041,0.1059718,1.952,1.8250884
244,31,8,2016,0.304,0.2829484,0.301,0.2280613,0.049,0.1618081,2.025,1.8966951
245,1,9,2016,0.431,0.275501,0.286,0.2253778,0.05,0.1610416,2.065,1.9201157
246,2,9,2016,0.308,0.2702909,0.278,0.2230606,0.039,0.1360273,1.939,1.7989601
247,3,9,2016,0.299,0.268647,0.275,0.221048,0.038,0.1196043,1.753,1.7216233
248,4,9,2016,0.309,0.3547195,0.317,0.3125332,0.052,0.1713917,1.901,2.240265
249,5,9,2016,1.012,0.7413205,0.931,0.5431504,0.201,0.2527038,4.976,3.5334477
250,6,9,2016,0.358,0.3316709,0.432,0.2605616,0.077,0.2209982,3.468,2.7059527
251,7,9,2016,0.313,0.2813335,0.375,0.2398796,0.059,0.1755324,2.425,2.2435363
252,8,9,2016,0.306,0.277507,0.324,0.2350453,0.05,0.1469117,2.106,2.0244594
253,9,9,2016,0.282,0.2742872,0.301,0.2309567,0.045,0.1276151,1.94,1.8752201
